method,window_size,step_size,repetition,http_code,json_status,runtime_ms,error
pearson,20,10,1,200,success,113.896,
pearson,20,10,2,200,success,107.922,
pearson,20,10,3,200,success,84.061,
spearman,20,10,1,200,success,92.099,
spearman,20,10,2,200,success,91.141,
spearman,20,10,3,200,success,91.179,
pearson,40,20,1,200,success,48.266,
pearson,40,20,2,200,success,47.733,
pearson,40,20,3,200,success,47.856,
spearman,40,20,1,200,success,51.675,
spearman,40,20,2,200,success,60.947,
spearman,40,20,3,200,success,51.614,
pearson,60,30,1,200,success,36.305,
pearson,60,30,2,200,success,35.91,
pearson,60,30,3,200,success,35.792,
spearman,60,30,1,200,success,37.018,
spearman,60,30,2,200,success,38.449,
spearman,60,30,3,200,success,38.541,
