01 | s1 <-> s2 | -0.9466 -> 0.6852 | delta=1.6319 | HIGH | reversal=True | Correlation changed by 1.63, classified as HIGH severity
02 | s2 <-> s3 | -0.9466 -> 0.6852 | delta=1.6319 | HIGH | reversal=True | Correlation changed by 1.63, classified as HIGH severity
03 | s1 <-> s3 | 0.8752 -> -0.9007 | delta=1.7759 | HIGH | reversal=True | Correlation changed by 1.78, classified as HIGH severity
04 | s2 <-> s3 | 0.8752 -> -0.9007 | delta=1.7759 | HIGH | reversal=True | Correlation changed by 1.78, classified as HIGH severity
05 | s1 <-> s2 | 1.0000 -> 0.6677 | delta=0.3323 | LOW | reversal=False | Correlation changed by 0.33, classified as LOW severity
06 | s1 <-> s2 | 0.6677 -> -0.9803 | delta=1.6481 | HIGH | reversal=True | Correlation changed by 1.65, classified as HIGH severity
07 | s1 <-> s3 | -0.6999 -> 0.9764 | delta=1.6763 | HIGH | reversal=True | Correlation changed by 1.68, classified as HIGH severity
08 | s1 <-> s2 | -0.9764 -> -0.5601 | delta=0.4163 | LOW | reversal=False | Correlation changed by 0.42, classified as LOW severity
09 | s2 <-> s3 | -0.9764 -> -0.5601 | delta=0.4163 | LOW | reversal=False | Correlation changed by 0.42, classified as LOW severity
10 | s1 <-> s2 | -0.5601 -> 0.9544 | delta=1.5145 | HIGH | reversal=True | Correlation changed by 1.51, classified as HIGH severity
11 | s2 <-> s3 | -0.5601 -> 0.9544 | delta=1.5145 | HIGH | reversal=True | Correlation changed by 1.51, classified as HIGH severity
12 | s1 <-> s2 | 0.9596 -> -0.4175 | delta=1.3771 | HIGH | reversal=True | Correlation changed by 1.38, classified as HIGH severity
13 | s2 <-> s3 | 0.9596 -> -0.4175 | delta=1.3771 | HIGH | reversal=True | Correlation changed by 1.38, classified as HIGH severity
14 | s1 <-> s2 | -0.4175 -> -0.9741 | delta=0.5567 | MEDIUM | reversal=False | Correlation changed by 0.56, classified as MEDIUM severity
15 | s2 <-> s3 | -0.4175 -> -0.9741 | delta=0.5567 | MEDIUM | reversal=False | Correlation changed by 0.56, classified as MEDIUM severity
16 | s1 <-> s2 | -0.9163 -> 0.8470 | delta=1.7633 | HIGH | reversal=True | Correlation changed by 1.76, classified as HIGH severity
17 | s2 <-> s3 | -0.9163 -> 0.8470 | delta=1.7633 | HIGH | reversal=True | Correlation changed by 1.76, classified as HIGH severity
18 | s1 <-> s2 | 0.7567 -> -0.9387 | delta=1.6953 | HIGH | reversal=True | Correlation changed by 1.70, classified as HIGH severity
19 | s2 <-> s3 | 0.7567 -> -0.9387 | delta=1.6953 | HIGH | reversal=True | Correlation changed by 1.70, classified as HIGH severity
